release_tag	release_commit	module	package	api_status	test_status	observed_percent
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/auditpostgres	supported-adapter	direct-tests	90.2
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/cacheredis	supported-adapter	direct-tests	74.3
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/idempotencyredis	supported-adapter	direct-tests	68.2
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/objectstores3	supported-adapter	direct-tests	75.1
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/operationpostgres	supported-adapter	direct-tests	80.0
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/outboxpostgres	supported-adapter	direct-tests	86.4
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/pgxpool	supported-adapter	direct-tests	49.1
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/ratelimitredis	supported-adapter	direct-tests	65.4
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/adapters/webhookdeliverypostgres	supported-adapter	direct-tests	81.5
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/bootstrap	supported-adapter	direct-tests	71.7
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/middleware/auth/oidc	supported-adapter	direct-tests	76.6
